,Latitude,Longitude,Arithmetic Mean Ozone,1st Max Value Ozone,AQI Ozone,Arithmetic Mean CO,1st Max Value CO,AQI CO,Arithmetic Mean NO2,1st Max Value NO2,AQI NO2,Arithmetic Mean SO2,1st Max Value SO2,AQI SO2,clusters,cluster
608,33.553056,-86.815,0.024765,0.026,24.0,0.1,0.1,1.0,1.308333,1.9,1.0,-0.191667,-0.1,0.0,2,purple
612,33.553056,-86.815,0.017824,0.025,23.0,0.133333,0.2,2.0,1.954167,4.2,4.0,-0.2375,-0.2,0.0,2,purple
616,33.553056,-86.815,0.025353,0.03,28.0,0.2,0.2,2.0,5.455556,8.1,8.0,0.555556,1.9,1.0,2,purple
620,33.553056,-86.815,0.012563,0.034,31.0,0.366667,0.5,6.0,16.49375,29.4,27.0,0.55,1.9,1.0,1,dark pink
624,33.553056,-86.815,0.023941,0.028,26.0,0.366667,0.6,7.0,9.204167,19.8,18.0,0.654167,2.4,3.0,2,purple
628,33.553056,-86.815,0.017294,0.025,23.0,0.208333,0.3,3.0,5.8625,21.4,20.0,0.316667,1.7,1.0,2,purple
632,33.553056,-86.815,0.031,0.033,31.0,0.208333,0.3,3.0,8.7,21.5,20.0,0.925,4.0,6.0,2,purple
636,33.553056,-86.815,0.021941,0.026,24.0,0.2,0.2,2.0,4.375,14.8,13.0,0.2,0.7,0.0,2,purple
640,33.553056,-86.815,0.017647,0.031,29.0,0.254545,0.3,3.0,10.04375,20.9,19.0,0.746667,3.7,4.0,2,purple
644,33.553056,-86.815,0.012882,0.032,30.0,0.441667,0.8,9.0,20.316667,33.1,31.0,1.183333,2.4,3.0,1,dark pink
648,33.553056,-86.815,0.017882,0.033,31.0,0.4125,0.8,9.0,17.954167,30.8,28.0,0.808333,2.4,3.0,1,dark pink
652,33.553056,-86.815,0.004455,0.014,13.0,0.4625,0.5,6.0,19.115789,29.2,27.0,0.584211,2.1,3.0,1,dark pink
656,33.553056,-86.815,0.022294,0.028,26.0,0.333333,0.6,7.0,12.9,24.0,23.0,0.816667,5.3,7.0,2,purple
660,33.553056,-86.815,0.025176,0.027,25.0,0.204167,0.3,3.0,2.658333,4.3,4.0,0.133333,0.2,0.0,2,purple
664,33.553056,-86.815,0.012176,0.03,28.0,0.241667,0.5,6.0,8.391667,26.6,25.0,0.145833,0.8,0.0,2,purple
668,33.553056,-86.815,0.022765,0.026,24.0,0.505882,0.6,7.0,14.83,24.1,23.0,0.89,1.9,1.0,2,purple
672,33.553056,-86.815,0.031706,0.035,32.0,0.222222,0.3,3.0,5.852941,9.3,8.0,0.688235,1.7,1.0,2,purple
676,33.553056,-86.815,0.02225,0.026,24.0,0.2,0.2,2.0,4.48,11.2,10.0,0.0,0.1,0.0,2,purple
680,33.553056,-86.815,0.020941,0.022,20.0,0.186667,0.2,2.0,4.0,6.8,6.0,0.005556,0.3,0.0,2,purple
684,33.553056,-86.815,0.017059,0.03,28.0,0.220833,0.4,5.0,6.616667,25.7,24.0,0.016667,0.2,0.0,2,purple
688,33.553056,-86.815,0.015941,0.036,33.0,0.366667,0.5,6.0,19.6375,39.6,37.0,0.541667,1.3,1.0,1,dark pink
692,33.553056,-86.815,0.026882,0.035,32.0,0.4,0.6,7.0,19.2875,36.8,34.0,0.841667,2.8,3.0,1,dark pink
696,33.553056,-86.815,0.028294,0.033,31.0,0.244444,0.3,3.0,10.457143,30.6,28.0,0.361905,0.8,0.0,1,dark pink
700,33.553056,-86.815,0.025882,0.034,31.0,0.225,0.3,3.0,6.183333,14.6,13.0,0.027778,0.2,0.0,2,purple
704,33.553056,-86.815,0.015294,0.035,32.0,0.279167,0.6,7.0,20.108696,37.7,35.0,0.565217,1.5,1.0,1,dark pink
708,33.553056,-86.815,0.035059,0.037,34.0,0.3375,0.6,7.0,9.5375,32.5,30.0,0.166667,0.8,0.0,1,dark pink
712,33.553056,-86.815,0.023353,0.037,34.0,0.158333,0.4,5.0,9.3375,35.3,33.0,0.070833,0.3,0.0,1,dark pink
716,33.553056,-86.815,0.019588,0.043,40.0,0.25,0.6,7.0,13.116667,37.6,35.0,0.4625,1.0,1.0,1,dark pink
720,33.553056,-86.815,0.017765,0.037,34.0,0.529167,0.8,9.0,25.7,39.7,37.0,0.9125,2.1,3.0,1,dark pink
724,33.553056,-86.815,0.043353,0.047,44.0,0.258333,0.5,6.0,15.2375,32.8,30.0,0.666667,2.5,3.0,1,dark pink
728,33.553056,-86.815,0.029176,0.033,31.0,0.2,0.2,2.0,8.585,14.3,13.0,0.385,1.5,1.0,2,purple
732,33.553056,-86.815,0.019294,0.028,26.0,0.2,0.2,2.0,5.857143,13.8,12.0,0.019048,0.2,0.0,2,purple
736,33.553056,-86.815,0.025235,0.029,27.0,0.2,0.2,2.0,2.795455,3.7,3.0,-0.086364,0.0,0.0,2,purple
740,33.553056,-86.815,0.024118,0.038,35.0,0.175,0.3,3.0,4.9,21.3,20.0,0.045833,0.6,0.0,2,purple
744,33.553056,-86.815,0.018353,0.038,35.0,0.270833,0.4,5.0,15.333333,30.6,28.0,0.333333,2.2,3.0,1,dark pink
748,33.553056,-86.815,0.023,0.035,32.0,0.366667,0.5,6.0,18.179167,32.5,30.0,0.829167,3.5,4.0,1,dark pink
752,33.553056,-86.815,0.016941,0.038,35.0,0.316667,0.6,7.0,15.652381,34.8,32.0,0.180952,0.9,0.0,1,dark pink
756,33.553056,-86.815,0.018118,0.042,39.0,0.477778,0.7,8.0,19.152381,37.3,35.0,1.061905,2.5,3.0,1,dark pink
760,33.553056,-86.815,0.025235,0.045,42.0,0.533333,0.7,8.0,23.25,43.6,41.0,1.0,3.2,4.0,1,dark pink
764,33.553056,-86.815,0.038118,0.057,58.0,0.391667,0.7,8.0,16.433333,40.4,38.0,0.629167,1.1,1.0,1,dark pink
768,33.553056,-86.815,0.032529,0.043,40.0,0.275,0.6,7.0,5.179167,16.9,15.0,0.033333,0.3,0.0,2,purple
772,33.553056,-86.815,0.029294,0.039,36.0,0.2,0.2,2.0,3.470833,13.3,12.0,-0.0875,0.1,0.0,2,purple
776,33.553056,-86.815,0.017824,0.04,37.0,0.8,2.6,30.0,36.626667,48.7,45.0,0.1,0.7,0.0,1,dark pink
780,33.553056,-86.815,0.044118,0.047,44.0,0.605556,2.6,30.0,12.128571,38.8,36.0,1.004762,6.2,9.0,1,dark pink
784,33.553056,-86.815,0.039471,0.042,39.0,0.2,0.2,2.0,3.97619,7.1,7.0,0.066667,0.3,0.0,2,purple
788,33.553056,-86.815,0.026154,0.029,27.0,0.183333,0.2,2.0,3.7,10.3,9.0,0.1375,0.6,0.0,2,purple
792,33.553056,-86.815,0.022,0.033,31.0,0.216667,0.3,3.0,6.370833,20.2,19.0,-0.129167,0.0,0.0,2,purple
796,33.553056,-86.815,0.020118,0.041,38.0,0.254167,0.4,5.0,13.816667,28.4,26.0,-0.058333,0.4,0.0,1,dark pink
800,33.553056,-86.815,0.036412,0.041,38.0,0.304167,0.5,6.0,11.883333,27.0,25.0,0.6375,2.7,3.0,2,purple
804,33.553056,-86.815,0.032765,0.036,33.0,0.2125,0.3,3.0,9.741667,19.4,18.0,0.5375,2.8,3.0,2,purple
808,33.553056,-86.815,0.023412,0.024,22.0,0.194444,0.2,2.0,4.533333,7.8,7.0,-0.02381,0.4,0.0,2,purple
812,33.553056,-86.815,0.010294,0.022,20.0,0.147059,0.2,2.0,4.575,9.7,8.0,0.01,1.9,1.0,2,purple
816,33.553056,-86.815,0.017235,0.02,19.0,0.233333,0.3,3.0,8.258333,17.5,16.0,0.229167,1.3,1.0,2,purple
820,33.553056,-86.815,0.016059,0.017,16.0,0.179167,0.2,2.0,3.629167,7.8,7.0,-0.170833,0.0,0.0,2,purple
824,33.553056,-86.815,0.013706,0.017,16.0,0.2,0.2,2.0,3.279167,8.6,8.0,-0.116667,0.5,0.0,2,purple
828,33.553056,-86.815,0.016176,0.019,18.0,0.2,0.2,2.0,4.4375,9.7,8.0,-0.158333,0.1,0.0,2,purple
832,33.553056,-86.815,0.002,0.003,3.0,0.2,0.2,2.0,9.535714,26.6,25.0,-0.121429,0.2,0.0,2,purple
836,33.553056,-86.815,0.017882,0.043,40.0,0.418182,0.6,7.0,19.8,36.4,34.0,1.2625,14.1,20.0,1,dark pink
840,33.553056,-86.815,0.009818,0.03,28.0,0.6,0.7,8.0,26.116667,46.6,43.0,0.844444,2.6,3.0,1,dark pink
844,33.553056,-86.815,0.026,0.062,74.0,0.566667,0.7,8.0,25.02,43.2,41.0,1.709524,9.8,13.0,0,pink
848,33.553056,-86.815,0.050412,0.062,74.0,0.423529,0.7,8.0,14.65,32.7,30.0,0.98,2.9,3.0,0,pink
852,33.553056,-86.815,0.045,0.054,50.0,0.25,0.3,3.0,4.716667,10.2,9.0,0.645833,2.7,3.0,2,purple
856,33.553056,-86.815,0.030941,0.035,32.0,0.129167,0.2,2.0,3.4,8.9,8.0,-0.054167,0.5,0.0,2,purple
860,33.553056,-86.815,0.028059,0.035,32.0,0.125,0.2,2.0,3.116667,5.4,5.0,-0.220833,0.0,0.0,2,purple
864,33.553056,-86.815,0.020235,0.022,20.0,0.145833,0.2,2.0,3.625,9.3,8.0,-0.1625,0.3,0.0,2,purple
868,33.553056,-86.815,0.027154,0.036,33.0,0.125,0.2,2.0,5.283333,14.0,13.0,-0.241667,-0.1,0.0,2,purple
872,33.553056,-86.815,0.024235,0.048,44.0,0.191667,0.3,3.0,12.76875,29.1,27.0,-0.12,0.3,0.0,1,dark pink
876,33.553056,-86.815,0.03,0.039,36.0,0.270833,0.4,5.0,11.691667,24.4,23.0,0.175,1.4,1.0,2,purple
880,33.553056,-86.815,0.037941,0.045,42.0,0.154167,0.2,2.0,1.8125,8.5,8.0,-0.254167,-0.1,0.0,2,purple
884,33.553056,-86.815,0.028059,0.048,44.0,0.216667,0.3,3.0,13.070833,30.1,28.0,-0.1375,0.6,0.0,1,dark pink
888,33.553056,-86.815,0.034588,0.048,44.0,0.241667,0.3,3.0,14.533333,33.4,31.0,-0.125,0.8,0.0,1,dark pink
892,33.553056,-86.815,0.029824,0.033,31.0,0.191667,0.2,2.0,9.816667,22.8,21.0,-0.208333,0.0,0.0,2,purple
896,33.553056,-86.815,0.014765,0.034,31.0,0.216667,0.5,6.0,20.42,40.8,38.0,-0.11,0.4,0.0,1,dark pink
900,33.553056,-86.815,0.037059,0.046,43.0,0.433333,0.7,8.0,14.904545,31.1,29.0,0.472727,1.2,1.0,1,dark pink
904,33.553056,-86.815,0.030529,0.032,30.0,0.147059,0.2,2.0,4.6,9.4,8.0,-0.16,0.2,0.0,2,purple
908,33.553056,-86.815,0.022647,0.041,38.0,0.133333,0.3,3.0,6.279167,24.7,23.0,-0.225,0.2,0.0,2,purple
912,33.553056,-86.815,0.029,0.05,46.0,0.270833,0.4,5.0,10.5125,27.1,25.0,0.058333,1.4,1.0,2,purple
916,33.553056,-86.815,0.050471,0.053,49.0,0.266667,0.4,5.0,11.166667,25.9,24.0,0.545833,3.6,4.0,2,purple
920,33.553056,-86.815,0.034882,0.042,39.0,0.2,0.2,2.0,5.165217,10.9,9.0,0.1,0.8,0.0,2,purple
924,33.553056,-86.815,0.030118,0.04,37.0,0.1,0.1,1.0,4.5125,11.2,10.0,-0.24375,0.5,0.0,2,purple
928,33.553056,-86.815,0.032824,0.051,47.0,0.179167,0.3,3.0,14.226087,35.5,33.0,0.130435,2.9,3.0,1,dark pink
932,33.553056,-86.815,0.039941,0.046,43.0,0.2125,0.3,3.0,8.558333,30.9,28.0,-0.295833,0.0,0.0,1,dark pink
936,33.553056,-86.815,0.041235,0.048,44.0,0.116667,0.2,2.0,3.408333,9.0,8.0,-0.375,-0.3,0.0,2,purple
940,33.553056,-86.815,0.037353,0.048,44.0,0.1625,0.2,2.0,5.129167,17.0,16.0,-0.304167,1.0,1.0,2,purple
944,33.553056,-86.815,0.039706,0.051,47.0,0.183333,0.2,2.0,7.170833,17.5,16.0,0.329167,5.2,7.0,2,purple
948,33.553056,-86.815,0.043,0.046,43.0,0.2,0.2,2.0,10.263158,24.6,23.0,0.021053,1.6,1.0,2,purple
952,33.553056,-86.815,0.047412,0.053,49.0,0.108333,0.2,2.0,3.082609,6.8,6.0,-0.121739,0.3,0.0,2,purple
956,33.553056,-86.815,0.027706,0.032,30.0,0.13125,0.2,2.0,5.463158,18.7,17.0,-0.315789,-0.1,0.0,2,purple
960,33.553056,-86.815,0.026118,0.043,40.0,0.154167,0.3,3.0,6.733333,20.1,19.0,-0.35,0.4,0.0,2,purple
964,33.553056,-86.815,0.024118,0.044,41.0,0.266667,0.4,5.0,14.3125,28.1,26.0,0.941667,3.7,4.0,1,dark pink
968,33.553056,-86.815,0.031294,0.049,45.0,0.258333,0.4,5.0,9.3625,25.5,24.0,0.345833,3.7,4.0,2,purple
972,33.553056,-86.815,0.037176,0.053,49.0,0.258333,0.3,3.0,15.583333,36.0,34.0,0.625,3.7,4.0,1,dark pink
976,33.553056,-86.815,0.031412,0.039,36.0,0.220833,0.3,3.0,8.629167,35.9,33.0,-0.158333,2.2,3.0,1,dark pink
980,33.553056,-86.815,0.030353,0.038,35.0,0.158333,0.2,2.0,4.516667,8.6,8.0,-0.366667,-0.3,0.0,2,purple
984,33.553056,-86.815,0.039294,0.047,44.0,0.1,0.1,1.0,4.047619,10.4,9.0,-0.227273,1.7,1.0,2,purple
988,33.553056,-86.815,0.034588,0.038,35.0,0.1375,0.2,2.0,5.7375,22.3,21.0,-0.058333,2.5,3.0,2,purple
992,33.553056,-86.815,0.029235,0.046,43.0,0.1125,0.2,2.0,4.625,19.2,18.0,-0.479167,-0.2,0.0,2,purple
996,33.553056,-86.815,0.053706,0.061,71.0,0.2875,0.4,5.0,8.870833,23.5,22.0,0.6875,3.7,4.0,0,pink
1000,33.553056,-86.815,0.030353,0.035,32.0,0.183333,0.2,2.0,7.983333,21.7,20.0,0.258333,2.0,3.0,2,purple
1004,33.553056,-86.815,0.034941,0.038,35.0,0.158333,0.2,2.0,4.595833,10.8,9.0,-0.120833,1.8,1.0,2,purple
1008,33.553056,-86.815,0.035235,0.037,34.0,0.1,0.1,1.0,3.263636,6.6,6.0,-0.286957,0.4,0.0,2,purple
1012,33.553056,-86.815,0.029235,0.047,44.0,0.11875,0.2,2.0,5.721053,27.7,25.0,-0.289474,3.4,4.0,2,purple
1016,33.553056,-86.815,0.048529,0.055,51.0,0.216667,0.3,3.0,8.520833,23.2,22.0,-0.1375,1.0,1.0,2,purple
1020,33.553056,-86.815,0.014353,0.031,29.0,0.191667,0.2,2.0,6.079167,11.8,10.0,-0.408333,0.6,0.0,2,purple
1024,33.553056,-86.815,0.028059,0.036,33.0,0.225,0.3,3.0,5.041667,13.7,12.0,-0.383333,0.5,0.0,2,purple
1028,33.553056,-86.815,0.032471,0.037,34.0,0.104167,0.2,2.0,3.045833,6.5,6.0,-0.570833,-0.4,0.0,2,purple
1032,33.553056,-86.815,0.029471,0.054,50.0,0.1625,0.3,3.0,9.920833,27.0,25.0,-0.245833,4.8,6.0,2,purple
1036,33.553056,-86.815,0.047706,0.05,46.0,0.216667,0.3,3.0,10.041667,24.5,23.0,0.225,5.4,7.0,2,purple
1040,33.553056,-86.815,0.028588,0.052,48.0,0.1875,0.3,3.0,8.463636,31.4,29.0,-0.35,0.4,0.0,1,dark pink
1044,33.553056,-86.815,0.041529,0.051,47.0,0.204167,0.3,3.0,11.022727,26.1,25.0,-0.390909,0.1,0.0,2,purple
1048,33.553056,-86.815,0.040529,0.047,44.0,0.125,0.2,2.0,2.408333,5.6,5.0,-0.533333,-0.3,0.0,2,purple
1052,33.553056,-86.815,0.039412,0.048,44.0,0.1,0.1,1.0,3.141667,7.3,7.0,-0.266667,0.3,0.0,2,purple
1056,33.553056,-86.815,0.029235,0.039,36.0,0.129167,0.2,2.0,5.658333,16.9,15.0,-0.366667,0.5,0.0,2,purple
1060,33.553056,-86.815,0.035235,0.042,39.0,0.1,0.1,1.0,3.395833,9.0,8.0,-0.620833,-0.6,0.0,2,purple
1064,33.553056,-86.815,0.032,0.056,54.0,0.116667,0.2,2.0,7.145455,31.7,29.0,-0.034783,2.5,3.0,1,dark pink
1068,33.553056,-86.815,0.036235,0.064,80.0,0.278571,0.3,3.0,18.576471,39.1,37.0,1.123529,4.4,6.0,0,pink
1072,33.553056,-86.815,0.049588,0.055,51.0,0.233333,0.3,3.0,6.875,30.0,28.0,0.5125,2.3,3.0,2,purple
1076,33.553056,-86.815,0.034471,0.045,42.0,0.154167,0.2,2.0,3.670833,7.5,7.0,1.045833,3.7,4.0,2,purple
1080,33.553056,-86.815,0.026882,0.042,39.0,0.1125,0.2,2.0,4.391667,11.6,10.0,0.3625,1.4,1.0,2,purple
1084,33.553056,-86.815,0.030412,0.038,35.0,0.2,0.2,2.0,7.191667,13.6,12.0,0.479167,1.2,1.0,2,purple
1088,33.553056,-86.815,0.021118,0.031,29.0,0.122222,0.2,2.0,6.466667,17.7,16.0,0.233333,0.6,0.0,2,purple
1092,33.553056,-86.815,0.030235,0.042,39.0,0.184615,0.2,2.0,6.9125,12.8,11.0,0.28125,1.6,1.0,2,purple
1096,33.553056,-86.815,0.027412,0.033,31.0,0.2,0.2,2.0,7.10625,18.2,17.0,0.34375,1.0,1.0,2,purple
1100,33.553056,-86.815,0.039412,0.047,44.0,0.104167,0.2,2.0,3.254545,6.4,6.0,0.3,1.9,1.0,2,purple
1104,33.553056,-86.815,0.032412,0.039,36.0,0.129167,0.2,2.0,1.675,3.5,3.0,0.116667,0.2,0.0,2,purple
1108,33.553056,-86.815,0.036059,0.043,40.0,0.1625,0.2,2.0,3.1125,11.1,10.0,0.7625,3.2,4.0,2,purple
1112,33.553056,-86.815,0.035647,0.047,44.0,0.15,0.2,2.0,4.463636,13.6,12.0,0.318182,1.1,1.0,2,purple
1116,33.553056,-86.815,0.030765,0.057,58.0,0.15,0.3,3.0,9.775,33.7,31.0,0.695833,2.7,3.0,1,dark pink
1120,33.553056,-86.815,0.031765,0.056,54.0,0.3125,0.4,5.0,14.130435,35.2,33.0,0.956522,3.7,4.0,1,dark pink
1124,33.553056,-86.815,0.041647,0.065,84.0,0.278571,0.3,3.0,17.088889,39.1,37.0,0.588235,2.4,3.0,0,pink
1128,33.553056,-86.815,0.033353,0.046,43.0,0.158333,0.3,3.0,5.216667,16.4,15.0,0.241667,0.8,0.0,2,purple
1132,33.553056,-86.815,0.024235,0.044,41.0,0.179167,0.3,3.0,8.295833,17.6,16.0,0.058333,0.2,0.0,2,purple
1136,33.553056,-86.815,0.039412,0.052,48.0,0.2375,0.4,5.0,7.3125,16.5,15.0,0.058333,0.3,0.0,2,purple
1140,33.553056,-86.815,0.038588,0.051,47.0,0.1625,0.2,2.0,6.016667,21.1,20.0,0.0,0.0,0.0,2,purple
1144,33.553056,-86.815,0.035471,0.064,80.0,0.208333,0.3,3.0,11.929167,41.5,39.0,0.820833,7.5,10.0,0,pink
1148,33.553056,-86.815,0.041529,0.059,64.0,0.283333,0.4,5.0,13.3,31.8,29.0,1.527273,5.2,7.0,0,pink
1152,33.553056,-86.815,0.039294,0.049,45.0,0.261538,0.3,3.0,8.125,16.1,15.0,0.0,0.1,0.0,2,purple
1156,33.553056,-86.815,0.030824,0.04,37.0,0.116667,0.2,2.0,3.22381,5.3,5.0,-0.014286,0.6,0.0,2,purple
1160,33.553056,-86.815,0.029471,0.035,32.0,0.1,0.1,1.0,2.754167,6.8,6.0,0.029167,0.6,0.0,2,purple
1164,33.553056,-86.815,0.029412,0.042,39.0,0.1,0.1,1.0,4.0875,8.7,8.0,0.283333,1.1,1.0,2,purple
1168,33.553056,-86.815,0.020353,0.028,26.0,0.1,0.1,1.0,4.341667,8.8,8.0,-0.104167,0.0,0.0,2,purple
1172,33.553056,-86.815,0.018471,0.024,22.0,0.133333,0.2,2.0,8.770833,17.1,16.0,-0.104167,0.0,0.0,2,purple
1176,33.553056,-86.815,0.022824,0.026,24.0,0.1,0.1,1.0,5.5,13.7,12.0,-0.108333,0.0,0.0,2,purple
1180,33.553056,-86.815,0.023294,0.03,28.0,0.133333,0.2,2.0,6.571429,21.0,20.0,-0.095238,0.0,0.0,2,purple
1184,33.553056,-86.815,0.025471,0.038,35.0,0.133333,0.2,2.0,4.304167,12.1,11.0,-0.058333,0.1,0.0,2,purple
1188,33.553056,-86.815,0.038286,0.057,58.0,0.157895,0.2,2.0,5.141176,13.8,12.0,-0.035294,0.2,0.0,2,purple
1192,33.553056,-86.815,0.0426,0.051,47.0,0.216667,0.4,5.0,7.873333,16.2,15.0,0.426667,1.2,1.0,2,purple
1196,33.553056,-86.815,0.05,0.051,47.0,0.1,0.1,1.0,2.78125,5.4,5.0,0.0125,0.3,0.0,2,purple
1200,33.553056,-86.815,0.034118,0.055,51.0,0.13,0.2,2.0,5.786667,12.8,11.0,-0.04,0.1,0.0,2,purple
1204,33.553056,-86.815,0.014353,0.036,33.0,0.270833,0.6,7.0,17.956522,35.2,33.0,0.021739,0.3,0.0,1,dark pink
1208,33.553056,-86.815,0.0245,0.027,25.0,0.442857,0.7,8.0,11.166667,21.8,20.0,0.18,0.5,0.0,2,purple
1213,33.553056,-86.815,0.032353,0.044,41.0,0.138462,0.2,2.0,5.357143,10.3,9.0,0.09,0.4,0.0,2,purple
1217,33.553056,-86.815,0.036059,0.044,41.0,0.129167,0.2,2.0,5.358333,9.0,8.0,0.083333,0.4,0.0,2,purple
1221,33.553056,-86.815,0.023,0.032,30.0,0.129167,0.2,2.0,7.595833,15.1,14.0,0.040909,0.2,0.0,2,purple
1225,33.553056,-86.815,0.036,0.041,38.0,0.1,0.1,1.0,5.852632,15.8,14.0,-0.021053,0.1,0.0,2,purple
1230,33.553056,-86.815,0.029471,0.045,42.0,0.215789,0.4,5.0,7.829167,24.1,23.0,0.204167,0.8,0.0,2,purple
1234,33.553056,-86.815,0.018647,0.034,31.0,0.170833,0.2,2.0,9.241667,22.8,21.0,0.208333,0.6,0.0,2,purple
1238,33.553056,-86.815,0.024583,0.03,28.0,0.191667,0.3,3.0,6.925,22.6,21.0,0.15,0.6,0.0,2,purple
1242,33.553056,-86.815,0.029647,0.036,33.0,0.141667,0.2,2.0,5.508333,18.4,17.0,0.079167,0.4,0.0,2,purple
1246,33.553056,-86.815,0.041235,0.072,105.0,0.161538,0.3,3.0,11.211765,28.8,26.0,0.364706,0.7,0.0,0,pink
1250,33.553056,-86.815,0.025647,0.052,48.0,0.216667,0.3,3.0,9.55,30.0,28.0,0.25,1.3,1.0,1,dark pink
1254,33.553056,-86.815,0.050059,0.06,67.0,0.170833,0.3,3.0,5.05,14.7,13.0,0.066667,0.3,0.0,0,pink
1258,33.553056,-86.815,0.036933,0.053,49.0,0.1125,0.2,2.0,5.220833,26.6,25.0,0.920833,4.3,6.0,2,purple
1262,33.553056,-86.815,0.028,0.054,50.0,0.172727,0.3,3.0,10.89375,40.8,38.0,0.2875,1.3,1.0,1,dark pink
1266,33.553056,-86.815,0.030941,0.045,42.0,0.279167,0.4,5.0,10.0875,25.9,24.0,0.591667,2.1,3.0,2,purple
1270,33.553056,-86.815,0.042647,0.06,67.0,0.2375,0.3,3.0,8.3375,24.2,23.0,0.170833,0.5,0.0,0,pink
1274,33.553056,-86.815,0.046706,0.07,100.0,0.188889,0.3,3.0,10.754545,27.9,25.0,0.659091,6.5,9.0,0,pink
1278,33.553056,-86.815,0.043471,0.053,49.0,0.229167,0.3,3.0,5.366667,28.0,26.0,0.304167,3.3,4.0,2,purple
1282,33.553056,-86.815,0.039529,0.05,46.0,0.145833,0.2,2.0,4.554167,21.7,20.0,0.083333,0.3,0.0,2,purple
1286,33.553056,-86.815,0.040529,0.054,50.0,0.2,0.2,2.0,6.833333,16.4,15.0,0.033333,0.3,0.0,2,purple
1290,33.553056,-86.815,0.045588,0.061,71.0,0.122222,0.2,2.0,4.605,8.7,8.0,0.2,1.5,1.0,0,pink
1294,33.553056,-86.815,0.030235,0.047,44.0,0.1125,0.2,2.0,6.2125,11.5,10.0,0.0125,0.2,0.0,2,purple
1298,33.553056,-86.815,0.036,0.044,41.0,0.120833,0.2,2.0,7.279167,14.6,13.0,0.0125,0.2,0.0,2,purple
7652,33.45797,-112.04659,0.027,0.042,39.0,0.273684,0.4,5.0,6.375,31.0,29.0,0.0,0.0,0.0,1,dark pink
7656,33.45797,-112.04659,0.014471,0.034,31.0,0.558333,1.2,14.0,20.625,37.0,35.0,0.666667,2.0,3.0,1,dark pink
7660,33.45797,-112.04659,0.011941,0.026,24.0,0.945833,1.4,16.0,26.208333,45.0,42.0,1.083333,2.0,3.0,1,dark pink
7664,33.45797,-112.04659,0.009235,0.022,20.0,0.6875,1.2,14.0,24.583333,45.0,42.0,1.0,2.0,3.0,1,dark pink
7668,33.45797,-112.04659,0.009706,0.022,20.0,0.958333,1.3,15.0,26.0,40.0,38.0,1.166667,2.0,3.0,1,dark pink
7672,33.45797,-112.04659,0.006824,0.016,15.0,0.854167,1.5,17.0,27.956522,48.0,45.0,1.0,2.0,3.0,1,dark pink
7676,33.45797,-112.04659,0.010588,0.022,20.0,0.9625,1.6,18.0,27.25,46.0,43.0,1.416667,3.0,4.0,1,dark pink
7680,33.45797,-112.04659,0.012471,0.028,26.0,0.7875,1.5,17.0,22.625,43.0,41.0,1.25,10.0,14.0,1,dark pink
7684,33.45797,-112.04659,0.015176,0.034,31.0,0.920833,1.6,18.0,21.875,41.0,39.0,0.625,2.0,3.0,1,dark pink
7688,33.45797,-112.04659,0.032,0.039,36.0,0.654167,1.0,11.0,17.666667,39.0,37.0,0.583333,3.0,4.0,1,dark pink
7692,33.45797,-112.04659,0.015941,0.035,32.0,0.454167,1.1,13.0,19.863636,41.0,39.0,0.521739,2.0,3.0,1,dark pink
7696,33.45797,-112.04659,0.007882,0.018,17.0,0.8875,1.4,16.0,33.0,52.0,49.0,1.083333,3.0,4.0,1,dark pink
7700,33.45797,-112.04659,0.009529,0.022,20.0,0.886957,1.5,17.0,30.0,50.0,47.0,1.291667,3.0,4.0,1,dark pink
7704,33.45797,-112.04659,0.010059,0.019,18.0,0.791667,1.2,14.0,29.166667,44.0,42.0,1.041667,2.0,3.0,1,dark pink
7708,33.45797,-112.04659,0.026647,0.039,36.0,0.720833,1.5,17.0,16.666667,38.0,36.0,0.291667,2.0,3.0,1,dark pink
7712,33.45797,-112.04659,0.016882,0.035,32.0,0.779167,1.3,15.0,26.208333,45.0,42.0,0.791667,2.0,3.0,1,dark pink
7716,33.45797,-112.04659,0.016059,0.03,28.0,0.933333,1.6,18.0,26.583333,50.0,47.0,1.0,3.0,4.0,1,dark pink
7720,33.45797,-112.04659,0.015765,0.027,25.0,0.725,1.4,16.0,22.125,40.0,38.0,0.583333,2.0,3.0,1,dark pink
7724,33.45797,-112.04659,0.013941,0.03,28.0,0.654167,1.0,11.0,20.291667,39.0,37.0,0.666667,3.0,4.0,1,dark pink
7728,33.45797,-112.04659,0.014059,0.027,25.0,0.995833,1.3,15.0,25.809524,42.0,40.0,1.217391,5.0,7.0,1,dark pink
7732,33.45797,-112.04659,0.016294,0.033,31.0,0.65,1.0,11.0,22.541667,44.0,42.0,0.666667,2.0,3.0,1,dark pink
7736,33.45797,-112.04659,0.028765,0.038,35.0,0.9125,1.4,16.0,18.916667,37.0,35.0,1.041667,3.0,4.0,1,dark pink
7740,33.45797,-112.04659,0.021706,0.037,34.0,0.55,0.7,8.0,15.0,35.0,33.0,0.25,1.0,1.0,1,dark pink
7744,33.45797,-112.04659,0.016176,0.03,28.0,0.675,1.0,11.0,23.125,39.0,37.0,1.0,2.0,3.0,1,dark pink
7748,33.45797,-112.04659,0.019118,0.032,30.0,0.6625,1.1,13.0,19.818182,38.0,36.0,0.521739,1.0,1.0,1,dark pink
